Mn,Co,Fe,Oxygen Diffusion Coefficient - log(D*)_400C (cm^2/s)
0.09064,0.15996,0.7494,-13.12139779
0.08883,0.16109,0.75008,-13.25691925
0.10378,0.18449,0.71173,-13.37232185
0.11762,0.18595,0.69643,-13.57872521
0.14754,0.20866,0.6438,-13.88765646
0.16548,0.21648,0.61804,-14.11358373
0.18456,0.23517,0.58027,-14.58291212
0.22873,0.24557,0.5257,-14.88985828
0.24367,0.24983,0.5065,-15.2564918
0.28736,0.25092,0.46173,-15.60012562
0.3215,0.24631,0.4322,-15.67029507
0.34195,0.24492,0.41314,-15.72417287
0.39136,0.23523,0.3734,-15.70795891
0.433,0.22627,0.34073,-15.97586749
0.48789,0.22141,0.2907,-16.10341812
0.52414,0.20671,0.26915,-15.79828888
0.55873,0.19928,0.24199,-15.76867316
0.59973,0.18507,0.2152,-15.9088186
0.58533,0.18476,0.22991,-15.48405334
0.57411,0.1841,0.24179,-16.21087427
0.51196,0.2047,0.28334,-16.08330607
0.48135,0.20791,0.31074,-16.1475194
0.42413,0.21898,0.35689,-15.95927111
0.38818,0.23216,0.37966,-15.90962554
0.36872,0.22582,0.40546,-15.85124315
0.31839,0.23826,0.44336,-15.76822468
0.27632,0.22423,0.49945,-15.79492562
0.24542,0.2263,0.52828,-15.57499919
0.21142,0.22046,0.56812,-15.19908575
0.17289,0.21158,0.61553,-14.90726883
0.16524,0.20331,0.63145,-14.6595896
0.14113,0.19822,0.66065,-14.14702804
0.13566,0.1804,0.68394,-14.32407967
0.09544,0.17398,0.73058,-13.85357736
0.09335,0.15644,0.75021,-13.63338469
0.09364,0.14659,0.75977,-15.47253637
0.11066,0.15573,0.73361,-15.88804223
0.10079,0.17321,0.726,-15.97182337
0.14812,0.17885,0.67303,-15.93295519
0.1661,0.19293,0.64097,-15.79678483
0.19453,0.20068,0.60479,-15.73617227
0.20986,0.21813,0.57201,-15.85603641
0.22645,0.21709,0.55646,-15.79443027
0.31962,0.21633,0.46405,-15.64403728
0.36454,0.2172,0.41826,-15.52828007
0.39286,0.22008,0.38706,-15.34255308
0.41666,0.21488,0.36846,-15.07202994
0.46732,0.20995,0.32273,-14.84359018
0.5025,0.20459,0.29291,-14.17733447
0.55288,0.19409,0.25303,-13.84161941
0.56454,0.19297,0.24249,-13.5937699
0.45751,0.20959,0.33289,-13.90256568
0.45751,0.20959,0.33289,-15.0282859
0.42318,0.20611,0.37071,-15.34401302
0.34582,0.21516,0.43902,-15.49844234
0.34582,0.21516,0.43902,-15.61542618
0.30563,0.21352,0.48086,-15.56298075
0.23292,0.21486,0.55222,-15.72120069
0.20857,0.19505,0.59638,-15.72873474
0.20857,0.19505,0.59638,-15.54517495
0.14171,0.18582,0.67247,-15.63930247
0.14171,0.18582,0.67247,-15.76466097
0.09836,0.16955,0.73209,-15.85641693
0.15593,0.17029,0.67378,-15.32876512
0.15593,0.17029,0.67378,-15.51691361
0.17954,0.18828,0.63218,-15.13526471
0.22913,0.18982,0.58105,-15.83040197
0.24431,0.20624,0.54945,-15.82943028
0.24431,0.20624,0.54945,-15.7739675
0.29072,0.21094,0.49834,-15.88524894
0.3348,0.20493,0.46027,-15.87193369
0.40171,0.20804,0.39025,-15.76595878
0.45077,0.20377,0.34545,-15.29000117
0.58548,0.27847,0.13605,-15.68635842
0.58548,0.27847,0.13605,-15.68695154
0.53593,0.30961,0.15446,-15.52743369
0.51031,0.33799,0.1517,-15.25868134
0.51031,0.33799,0.1517,-14.93773398
0.47242,0.36173,0.16585,-14.66781411
0.43743,0.38675,0.17582,-14.35591411
0.41176,0.40032,0.18792,-14.18548205
0.34283,0.45955,0.19762,-14.00315442
0.34283,0.45955,0.19762,-13.8013759
0.28569,0.50569,0.20862,-13.57118998
0.2516,0.52267,0.22573,-13.51346751
0.2516,0.52267,0.22573,-13.4805054
0.20703,0.55778,0.23519,-13.36288368
0.20703,0.55778,0.23519,-13.29294276
0.15334,0.56836,0.2783,-13.25123072
0.15076,0.55703,0.29221,-13.31169144
0.1341,0.54052,0.32538,-13.2544607
0.1341,0.54052,0.32538,-13.19776897
0.10792,0.50192,0.39016,-13.10182956
0.10017,0.46162,0.43821,-13.06476942
0.08705,0.44207,0.47088,-13.04427907
0.08867,0.55336,0.35797,-13.07436772
0.08867,0.55336,0.35797,-13.11273106
0.11299,0.56723,0.31978,-13.19932209
0.12272,0.59353,0.28375,-13.22020156
0.151,0.60075,0.24825,-13.33518039
0.16254,0.6031,0.23436,-13.2455775
0.16254,0.6031,0.23436,-13.2553824
0.18369,0.59548,0.22083,-13.29597996
0.23201,0.56271,0.20528,-13.36028746
0.23201,0.56271,0.20528,-13.41630711
0.29475,0.50612,0.19913,-13.48594925
0.29475,0.50612,0.19913,-13.66003407
0.30763,0.49666,0.19572,-13.84103173
0.39018,0.43067,0.17915,-13.98007821
0.41615,0.42322,0.16064,-14.10534948
0.41615,0.42322,0.16064,-14.38092233
0.44323,0.40005,0.15672,-14.6413001
0.51157,0.34276,0.14567,-14.86697872
0.51157,0.34276,0.14567,-15.12365917
0.54359,0.32059,0.13582,-15.28547158
0.46795,0.38183,0.15022,-15.29944078
0.45431,0.40033,0.14535,-14.97416184
0.43105,0.42042,0.14852,-14.85380372
0.43105,0.42042,0.14852,-14.59065704
0.41007,0.4293,0.16063,-14.35955434
0.38282,0.4637,0.15348,-14.2274656
0.34684,0.48755,0.16561,-14.02890236
0.31491,0.51848,0.16661,-13.84999002
0.31491,0.51848,0.16661,-13.72377954
0.29928,0.52873,0.17199,-13.55775077
0.27474,0.5424,0.18286,-13.4674418
0.27474,0.5424,0.18286,-13.3964064
0.2091,0.61565,0.17525,-13.33972473
0.2091,0.61565,0.17525,-13.32085476
0.16821,0.64238,0.18941,-13.29576538
0.16821,0.64238,0.18941,-13.28038453
0.15313,0.63805,0.20882,-13.30133063
0.15313,0.63805,0.20882,-13.3060955
