Mn,Fe,Co,log(k*)400ºC (cm/s)
0.024096386,0,0.975903614,-8.903064461
0.020080321,0,0.979919679,-8.903064461
0.016064257,0,0.983935743,-8.903064461
0.012048193,0,0.987951807,-8.903064461
0.008032129,0,0.991967871,-8.903064461
0.004016064,0,0.995983936,-8.903064461
0,0,1,-8.903064461
0.995983936,0.004016064,0,-11.07653917
0.991967871,0.004016064,0.004016064,-11.07653917
0.987951807,0.004016064,0.008032129,-11.07653917
0.983935743,0.004016064,0.012048193,-11.07653917
0.979919679,0.004016064,0.016064257,-11.07653917
0.975903614,0.004016064,0.020080321,-11.07653917
0.97188755,0.004016064,0.024096386,-11.07653917
0.967871486,0.004016064,0.02811245,-11.07653917
0.963855422,0.004016064,0.032128514,-11.07653917
0.959839357,0.004016064,0.036144578,-11.07653917
0.955823293,0.004016064,0.040160643,-11.07653917
0.951807229,0.004016064,0.044176707,-11.07653917
0.947791165,0.004016064,0.048192771,-11.07653917
0.9437751,0.004016064,0.052208835,-11.07653917
0.939759036,0.004016064,0.0562249,-11.07653917
0.935742972,0.004016064,0.060240964,-11.07653917
0.931726908,0.004016064,0.064257028,-11.07653917
0.927710843,0.004016064,0.068273092,-11.07653917
0.923694779,0.004016064,0.072289157,-11.07653917
0.919678715,0.004016064,0.076305221,-11.07653917
0.915662651,0.004016064,0.080321285,-11.07653917
0.911646586,0.004016064,0.084337349,-11.07653917
0.907630522,0.004016064,0.088353414,-11.07653917
0.903614458,0.004016064,0.092369478,-11.07653917
0.899598394,0.004016064,0.096385542,-11.07653917
0.895582329,0.004016064,0.100401606,-11.07653917
0.891566265,0.004016064,0.104417671,-11.07653917
0.887550201,0.004016064,0.108433735,-11.07653917
0.883534137,0.004016064,0.112449799,-11.07653917
0.879518072,0.004016064,0.116465863,-11.07653917
0.875502008,0.004016064,0.120481928,-11.07653917
0.871485944,0.004016064,0.124497992,-11.07653917
0.86746988,0.004016064,0.128514056,-11.07653917
0.863453815,0.004016064,0.13253012,-11.07653917
0.859437751,0.004016064,0.136546185,-11.07634916
0.855421687,0.004016064,0.140562249,-11.07634916
0.851405622,0.004016064,0.144578313,-11.07634916
0.847389558,0.004016064,0.148594378,-11.07634916
0.843373494,0.004016064,0.152610442,-11.07634916
0.83935743,0.004016064,0.156626506,-11.07634916
0.835341365,0.004016064,0.16064257,-11.07634916
0.831325301,0.004016064,0.164658635,-11.07634916
0.827309237,0.004016064,0.168674699,-11.07634916
0.823293173,0.004016064,0.172690763,-11.07634916
0.819277108,0.004016064,0.176706827,-11.07634916
0.815261044,0.004016064,0.180722892,-11.07634916
0.81124498,0.004016064,0.184738956,-11.07634916
0.807228916,0.004016064,0.18875502,-11.07592068
0.803212851,0.004016064,0.192771084,-11.07592068
0.799196787,0.004016064,0.196787149,-11.07519406
0.795180723,0.004016064,0.200803213,-11.07519406
0.791164659,0.004016064,0.204819277,-11.07519406
0.787148594,0.004016064,0.208835341,-11.07519406
0.78313253,0.004016064,0.212851406,-11.07519406
0.779116466,0.004016064,0.21686747,-11.07519406
0.775100402,0.004016064,0.220883534,-11.07519406
0.771084337,0.004016064,0.224899598,-11.07519406
0.767068273,0.004016064,0.228915663,-11.07519406
0.763052209,0.004016064,0.232931727,-11.07519406
0.759036145,0.004016064,0.236947791,-11.07519406
0.75502008,0.004016064,0.240963855,-11.07519406
0.751004016,0.004016064,0.24497992,-11.07519406
0.746987952,0.004016064,0.248995984,-11.07519406
0.742971888,0.004016064,0.253012048,-11.0720685
0.738955823,0.004016064,0.257028112,-11.0720685
0.734939759,0.004016064,0.261044177,-11.0720685
0.730923695,0.004016064,0.265060241,-11.0687077
0.726907631,0.004016064,0.269076305,-11.05805694
0.722891566,0.004016064,0.273092369,-11.05805694
0.718875502,0.004016064,0.277108434,-11.01370074
0.714859438,0.004016064,0.281124498,-11.01370074
0.710843373,0.004016064,0.285140562,-11.01370074
0.706827309,0.004016064,0.289156627,-11.01048934
0.702811245,0.004016064,0.293172691,-11.01048934
0.698795181,0.004016064,0.297188755,-10.99138558
0.694779116,0.004016064,0.301204819,-10.94617645
0.690763052,0.004016064,0.305220884,-10.94617645
0.686746988,0.004016064,0.309236948,-10.90335408
0.682730924,0.004016064,0.313253012,-10.85725813
0.678714859,0.004016064,0.317269076,-10.83856231
0.674698795,0.004016064,0.321285141,-10.83904818
0.670682731,0.004016064,0.325301205,-10.82984748
0.666666667,0.004016064,0.329317269,-10.82835876
