Mn,Fe,Co,ASR600ºC (Ω·cm2)
0.289156627,0.004016064,0.706827309,101.0308473
0.285140562,0.004016064,0.710843373,100.8863799
0.281124498,0.004016064,0.714859438,100.8863799
0.277108434,0.004016064,0.718875502,100.3199656
0.273092369,0.004016064,0.722891566,100.0336084
0.269076305,0.004016064,0.726907631,100.0116421
0.265060241,0.004016064,0.730923695,100.0116421
0.261044177,0.004016064,0.734939759,100.0114119
0.257028112,0.004016064,0.738955823,100.0114119
0.253012048,0.004016064,0.742971888,100.0194932
0.248995984,0.004016064,0.746987952,99.99277773
0.24497992,0.004016064,0.751004016,100.004696
0.240963855,0.004016064,0.75502008,100.0252202
0.236947791,0.004016064,0.759036145,100.0917248
0.232931727,0.004016064,0.763052209,99.99569588
0.228915663,0.004016064,0.767068273,99.93777435
0.224899598,0.004016064,0.771084337,99.92279034
0.220883534,0.004016064,0.775100402,99.92279034
0.21686747,0.004016064,0.779116466,99.90819302
0.212851406,0.004016064,0.78313253,99.90273143
0.208835341,0.004016064,0.787148594,99.89642966
0.204819277,0.004016064,0.791164659,99.89642966
0.200803213,0.004016064,0.795180723,99.89642966
0.196787149,0.004016064,0.799196787,99.88358748
0.192771084,0.004016064,0.803212851,99.88163419
0.18875502,0.004016064,0.807228916,99.88163419
0.184738956,0.004016064,0.81124498,99.88163419
0.180722892,0.004016064,0.815261044,99.88121855
0.176706827,0.004016064,0.819277108,99.88121855
0.172690763,0.004016064,0.823293173,99.88121855
0.168674699,0.004016064,0.827309237,99.88121855
0.164658635,0.004016064,0.831325301,99.88121855
0.16064257,0.004016064,0.835341365,99.88121855
0.156626506,0.004016064,0.83935743,99.88121855
0.152610442,0.004016064,0.843373494,99.88121855
0.148594378,0.004016064,0.847389558,99.88121855
0.144578313,0.004016064,0.851405622,99.88046386
0.140562249,0.004016064,0.855421687,99.88046386
0.136546185,0.004016064,0.859437751,99.88052017
0.13253012,0.004016064,0.863453815,99.88052017
0.128514056,0.004016064,0.86746988,99.8815859
0.124497992,0.004016064,0.871485944,99.88220448
0.120481928,0.004016064,0.875502008,99.88204832
0.116465863,0.004016064,0.879518072,99.88204832
0.112449799,0.004016064,0.883534137,99.88204832
0.108433735,0.004016064,0.887550201,99.88204832
0.104417671,0.004016064,0.891566265,99.88204832
0.100401606,0.004016064,0.895582329,99.88204832
0.096385542,0.004016064,0.899598394,99.88204832
0.092369478,0.004016064,0.903614458,99.88204832
0.088353414,0.004016064,0.907630522,99.88204832
0.084337349,0.004016064,0.911646586,99.88204832
0.080321285,0.004016064,0.915662651,99.88204832
0.076305221,0.004016064,0.919678715,99.88204832
0.072289157,0.004016064,0.923694779,99.88204832
0.068273092,0.004016064,0.927710843,99.88204832
0.064257028,0.004016064,0.931726908,99.88204832
0.060240964,0.004016064,0.935742972,99.88204832
0.0562249,0.004016064,0.939759036,99.88204832
0.052208835,0.004016064,0.9437751,99.88204832
0.048192771,0.004016064,0.947791165,99.88204832
0.044176707,0.004016064,0.951807229,99.88204832
0.040160643,0.004016064,0.955823293,99.88204832
0.036144578,0.004016064,0.959839357,99.88204832
0.032128514,0.004016064,0.963855422,99.88204832
0.02811245,0.004016064,0.967871486,99.88204832
0.024096386,0.004016064,0.97188755,99.88204832
0.020080321,0.004016064,0.975903614,99.88204832
0.016064257,0.004016064,0.979919679,99.88204832
0.012048193,0.004016064,0.983935743,99.88204832
0.008032129,0.004016064,0.987951807,99.88204832
0.004016064,0.004016064,0.991967871,99.88204832
0,0.004016064,0.995983936,99.88204832
0.991967871,0.008032129,0,107.4627882
0.987951807,0.008032129,0.004016064,107.4627882
0.983935743,0.008032129,0.008032129,107.4627882
0.979919679,0.008032129,0.012048193,107.4627882
0.975903614,0.008032129,0.016064257,107.4627882
0.97188755,0.008032129,0.020080321,107.4627882
0.967871486,0.008032129,0.024096386,107.4627882
0.963855422,0.008032129,0.02811245,107.4627882
0.959839357,0.008032129,0.032128514,107.4627882
0.955823293,0.008032129,0.036144578,107.4627882
0.951807229,0.008032129,0.040160643,107.4627882
0.947791165,0.008032129,0.044176707,107.4627882
0.9437751,0.008032129,0.048192771,107.4627882
0.939759036,0.008032129,0.052208835,107.4627882
0.935742972,0.008032129,0.0562249,107.4627882
0.931726908,0.008032129,0.060240964,107.4627882
0.927710843,0.008032129,0.064257028,107.4627882
0.923694779,0.008032129,0.068273092,107.4627882
0.919678715,0.008032129,0.072289157,107.4627882
0.915662651,0.008032129,0.076305221,107.4627882
0.911646586,0.008032129,0.080321285,107.4627882
0.907630522,0.008032129,0.084337349,107.4627882
0.903614458,0.008032129,0.088353414,107.4627882
0.899598394,0.008032129,0.092369478,107.4627882
0.895582329,0.008032129,0.096385542,107.4627882
0.891566265,0.008032129,0.100401606,107.4627882
0.887550201,0.008032129,0.104417671,107.4627882
