Mn,Fe,Co,Area Specific Resistance at 700C - ASR_700 C (ohm cm^2)
0.803212851,0.004016064,0.192771084,12.15354891
0.799196787,0.004016064,0.196787149,12.13960845
0.795180723,0.004016064,0.200803213,12.13960845
0.791164659,0.004016064,0.204819277,12.13960845
0.787148594,0.004016064,0.208835341,12.13960845
0.78313253,0.004016064,0.212851406,12.13960845
0.779116466,0.004016064,0.21686747,12.13960845
0.775100402,0.004016064,0.220883534,12.13960845
0.771084337,0.004016064,0.224899598,12.13960845
0.767068273,0.004016064,0.228915663,12.13960845
0.763052209,0.004016064,0.232931727,12.13960845
0.759036145,0.004016064,0.236947791,12.13960845
0.75502008,0.004016064,0.240963855,12.13960845
0.751004016,0.004016064,0.24497992,12.13960845
0.746987952,0.004016064,0.248995984,12.13960845
0.742971888,0.004016064,0.253012048,12.11818725
0.738955823,0.004016064,0.257028112,12.11818725
0.734939759,0.004016064,0.261044177,12.11818725
0.730923695,0.004016064,0.265060241,12.10045986
0.726907631,0.004016064,0.269076305,12.00448626
0.722891566,0.004016064,0.273092369,12.00448626
0.718875502,0.004016064,0.277108434,11.68009961
0.714859438,0.004016064,0.281124498,11.68009961
0.710843373,0.004016064,0.285140562,11.68009961
0.706827309,0.004016064,0.289156627,11.65914453
0.702811245,0.004016064,0.293172691,11.65914453
0.698795181,0.004016064,0.297188755,11.53739134
0.694779116,0.004016064,0.301204819,11.32471435
0.690763052,0.004016064,0.305220884,11.32471435
0.686746988,0.004016064,0.309236948,11.17106422
0.682730924,0.004016064,0.313253012,11.01358726
0.678714859,0.004016064,0.317269076,10.96631121
0.674698795,0.004016064,0.321285141,10.96442408
0.670682731,0.004016064,0.325301205,10.92392432
0.666666667,0.004016064,0.329317269,10.93058172
0.662650602,0.004016064,0.333333333,10.92926714
0.658634538,0.004016064,0.337349398,10.84968917
0.654618474,0.004016064,0.341365462,10.79440018
0.65060241,0.004016064,0.345381526,10.64067399
0.646586345,0.004016064,0.34939759,10.36631719
0.642570281,0.004016064,0.353413655,10.3227497
0.638554217,0.004016064,0.357429719,10.20578943
0.634538153,0.004016064,0.361445783,10.16009553
0.630522088,0.004016064,0.365461847,9.802975857
0.626506024,0.004016064,0.369477912,9.642556922
0.62248996,0.004016064,0.373493976,9.599725785
0.618473896,0.004016064,0.37751004,9.4015387
