Mn,Fe,Co,Oxygen Diffusion Coefficient - log(D*)_400C (cm^2/s)
0.184738956,0,0.815261044,-13.04577665
0.180722892,0,0.819277108,-13.04411358
0.176706827,0,0.823293173,-13.04411358
0.172690763,0,0.827309237,-13.04411358
0.168674699,0,0.831325301,-13.04411358
0.164658635,0,0.835341365,-13.04411358
0.16064257,0,0.83935743,-13.04411358
0.156626506,0,0.843373494,-13.04411358
0.152610442,0,0.847389558,-13.04411358
0.148594378,0,0.851405622,-13.04411358
0.144578313,0,0.855421687,-13.03918033
0.140562249,0,0.859437751,-13.03918033
0.136546185,0,0.863453815,-13.03795681
0.13253012,0,0.86746988,-13.03795681
0.128514056,0,0.871485944,-13.02920925
0.124497992,0,0.875502008,-13.01343349
0.120481928,0,0.879518072,-13.01242042
0.116465863,0,0.883534137,-13.01242042
0.112449799,0,0.887550201,-13.01242042
0.108433735,0,0.891566265,-13.01242042
0.104417671,0,0.895582329,-13.01242042
0.100401606,0,0.899598394,-13.01242042
0.096385542,0,0.903614458,-13.01242042
0.092369478,0,0.907630522,-13.01242042
0.088353414,0,0.911646586,-13.01242042
0.084337349,0,0.915662651,-13.01242042
0.080321285,0,0.919678715,-13.01242042
0.076305221,0,0.923694779,-13.01242042
0.072289157,0,0.927710843,-13.01242042
0.068273092,0,0.931726908,-13.01242042
0.064257028,0,0.935742972,-13.01242042
0.060240964,0,0.939759036,-13.01242042
0.0562249,0,0.9437751,-13.01242042
0.052208835,0,0.947791165,-13.01242042
0.048192771,0,0.951807229,-13.01242042
0.044176707,0,0.955823293,-13.01242042
0.040160643,0,0.959839357,-13.01242042
0.036144578,0,0.963855422,-13.01242042
0.032128514,0,0.967871486,-13.01242042
0.02811245,0,0.97188755,-13.01242042
0.024096386,0,0.975903614,-13.01242042
0.020080321,0,0.979919679,-13.01242042
0.016064257,0,0.983935743,-13.01242042
0.012048193,0,0.987951807,-13.01242042
0.008032129,0,0.991967871,-13.01242042
0.004016064,0,0.995983936,-13.01242042
0,0,1,-13.01242042
0.995983936,0.004016064,0,-16.16058438
0.991967871,0.004016064,0.004016064,-16.16058438
0.987951807,0.004016064,0.008032129,-16.16058438
0.983935743,0.004016064,0.012048193,-16.16058438
0.979919679,0.004016064,0.016064257,-16.16058438
0.975903614,0.004016064,0.020080321,-16.16058438
0.97188755,0.004016064,0.024096386,-16.16058438
0.967871486,0.004016064,0.02811245,-16.16058438
0.963855422,0.004016064,0.032128514,-16.16058438
0.959839357,0.004016064,0.036144578,-16.16058438
0.955823293,0.004016064,0.040160643,-16.16058438
0.951807229,0.004016064,0.044176707,-16.16058438
0.947791165,0.004016064,0.048192771,-16.16058438
0.9437751,0.004016064,0.052208835,-16.16058438
0.939759036,0.004016064,0.0562249,-16.16058438
0.935742972,0.004016064,0.060240964,-16.16058438
0.931726908,0.004016064,0.064257028,-16.16058438
0.927710843,0.004016064,0.068273092,-16.16058438
0.923694779,0.004016064,0.072289157,-16.16058438
0.919678715,0.004016064,0.076305221,-16.16058438
0.915662651,0.004016064,0.080321285,-16.16058438
0.911646586,0.004016064,0.084337349,-16.16058438
0.907630522,0.004016064,0.088353414,-16.16058438
0.903614458,0.004016064,0.092369478,-16.16058438
0.899598394,0.004016064,0.096385542,-16.16058438
0.895582329,0.004016064,0.100401606,-16.16058438
0.891566265,0.004016064,0.104417671,-16.16058438
0.887550201,0.004016064,0.108433735,-16.16058438
0.883534137,0.004016064,0.112449799,-16.16058438
0.879518072,0.004016064,0.116465863,-16.16058438
0.875502008,0.004016064,0.120481928,-16.16058438
0.871485944,0.004016064,0.124497992,-16.16058438
0.86746988,0.004016064,0.128514056,-16.16058438
0.863453815,0.004016064,0.13253012,-16.16058438
0.859437751,0.004016064,0.136546185,-16.1607467
0.855421687,0.004016064,0.140562249,-16.1607467
0.851405622,0.004016064,0.144578313,-16.1607467
0.847389558,0.004016064,0.148594378,-16.1607467
0.843373494,0.004016064,0.152610442,-16.1607467
0.83935743,0.004016064,0.156626506,-16.1607467
0.835341365,0.004016064,0.16064257,-16.1607467
0.831325301,0.004016064,0.164658635,-16.1607467
0.827309237,0.004016064,0.168674699,-16.1607467
0.823293173,0.004016064,0.172690763,-16.1607467
0.819277108,0.004016064,0.176706827,-16.1607467
0.815261044,0.004016064,0.180722892,-16.1607467
0.81124498,0.004016064,0.184738956,-16.1607467
0.807228916,0.004016064,0.18875502,-16.16060537
0.803212851,0.004016064,0.192771084,-16.16060537
0.799196787,0.004016064,0.196787149,-16.16009495
0.795180723,0.004016064,0.200803213,-16.16009495
0.791164659,0.004016064,0.204819277,-16.16009495
0.787148594,0.004016064,0.208835341,-16.16009495
0.78313253,0.004016064,0.212851406,-16.16009495
0.779116466,0.004016064,0.21686747,-16.16009495
0.775100402,0.004016064,0.220883534,-16.16009495
0.771084337,0.004016064,0.224899598,-16.16009495
0.767068273,0.004016064,0.228915663,-16.16009495
0.763052209,0.004016064,0.232931727,-16.16009495
0.759036145,0.004016064,0.236947791,-16.16009495
0.75502008,0.004016064,0.240963855,-16.16009495
0.751004016,0.004016064,0.24497992,-16.16009495
0.746987952,0.004016064,0.248995984,-16.16009495
0.742971888,0.004016064,0.253012048,-16.15651515
0.738955823,0.004016064,0.257028112,-16.15651515
0.734939759,0.004016064,0.261044177,-16.15651515
0.730923695,0.004016064,0.265060241,-16.15225365
0.726907631,0.004016064,0.269076305,-16.1401754
0.722891566,0.004016064,0.273092369,-16.1401754
0.718875502,0.004016064,0.277108434,-16.08565824
0.714859438,0.004016064,0.281124498,-16.08565824
0.710843373,0.004016064,0.285140562,-16.08565824
0.706827309,0.004016064,0.289156627,-16.08140645
0.702811245,0.004016064,0.293172691,-16.08140645
0.698795181,0.004016064,0.297188755,-16.05574628
0.694779116,0.004016064,0.301204819,-15.99586835
0.690763052,0.004016064,0.305220884,-15.99586835
0.686746988,0.004016064,0.309236948,-15.93829213
0.682730924,0.004016064,0.313253012,-15.87666846
0.678714859,0.004016064,0.317269076,-15.85094319
0.674698795,0.004016064,0.321285141,-15.85227563
0.670682731,0.004016064,0.325301205,-15.8396163
0.666666667,0.004016064,0.329317269,-15.83736169
0.662650602,0.004016064,0.333333333,-15.8320993
0.658634538,0.004016064,0.337349398,-15.80196379
0.654618474,0.004016064,0.341365462,-15.78083922
0.65060241,0.004016064,0.345381526,-15.71764492
0.646586345,0.004016064,0.34939759,-15.63251694
0.642570281,0.004016064,0.353413655,-15.61654379
0.638554217,0.004016064,0.357429719,-15.54813821
0.634538153,0.004016064,0.361445783,-15.53329609
0.630522088,0.004016064,0.365461847,-15.40140175
0.626506024,0.004016064,0.369477912,-15.33596523
0.62248996,0.004016064,0.373493976,-15.32081983
0.618473896,0.004016064,0.37751004,-15.25020507
0.614457831,0.004016064,0.381526104,-15.2449486
0.610441767,0.004016064,0.385542169,-15.17701252
0.606425703,0.004016064,0.389558233,-15.15592871
0.602409639,0.004016064,0.393574297,-15.10661051
0.598393574,0.004016064,0.397590361,-15.06958163
0.59437751,0.004016064,0.401606426,-15.06040259
0.590361446,0.004016064,0.40562249,-15.05058793
0.586345382,0.004016064,0.409638554,-15.02346262
0.582329317,0.004016064,0.413654618,-14.9881946
0.578313253,0.004016064,0.417670683,-14.97811099
0.574297189,0.004016064,0.421686747,-14.88336145
0.570281124,0.004016064,0.425702811,-14.87203813
0.56626506,0.004016064,0.429718876,-14.86376341
0.562248996,0.004016064,0.43373494,-14.86541445
0.558232932,0.004016064,0.437751004,-14.87560006
0.554216867,0.004016064,0.441767068,-14.88005693
0.550200803,0.004016064,0.445783133,-14.86380344
0.546184739,0.004016064,0.449799197,-14.86363232
0.542168675,0.004016064,0.453815261,-14.86363232
0.53815261,0.004016064,0.457831325,-14.86363232
0.534136546,0.004016064,0.46184739,-14.85891435
0.530120482,0.004016064,0.465863454,-14.85531981
0.526104418,0.004016064,0.469879518,-14.83779252
0.522088353,0.004016064,0.473895582,-14.83338746
0.518072289,0.004016064,0.477911647,-14.81863222
0.514056225,0.004016064,0.481927711,-14.80021733
0.510040161,0.004016064,0.485943775,-14.75389977
0.506024096,0.004016064,0.489959839,-14.73745466
0.502008032,0.004016064,0.493975904,-14.72576168
0.497991968,0.004016064,0.497991968,-14.70202181
0.493975904,0.004016064,0.502008032,-14.6972405
0.489959839,0.004016064,0.506024096,-14.58973477
0.485943775,0.004016064,0.510040161,-14.58592847
0.481927711,0.004016064,0.514056225,-14.52747707
0.477911647,0.004016064,0.518072289,-14.47384306
0.473895582,0.004016064,0.522088353,-13.94287551
0.469879518,0.004016064,0.526104418,-13.8127374
0.465863454,0.004016064,0.530120482,-13.7253356
0.46184739,0.004016064,0.534136546,-13.47811833
0.457831325,0.004016064,0.53815261,-13.44025066
0.453815261,0.004016064,0.542168675,-13.44025066
0.449799197,0.004016064,0.546184739,-13.44025066
0.445783133,0.004016064,0.550200803,-13.43289105
0.441767068,0.004016064,0.554216867,-13.43289105
0.437751004,0.004016064,0.558232932,-13.42927493
0.43373494,0.004016064,0.562248996,-13.42927493
0.429718876,0.004016064,0.56626506,-13.42927493
0.425702811,0.004016064,0.570281124,-13.42927493
0.421686747,0.004016064,0.574297189,-13.42705368
0.417670683,0.004016064,0.578313253,-13.42705368
0.413654618,0.004016064,0.582329317,-13.42705368
0.409638554,0.004016064,0.586345382,-13.4246591
0.40562249,0.004016064,0.590361446,-13.42275325
0.401606426,0.004016064,0.59437751,-13.42132086
0.397590361,0.004016064,0.598393574,-13.39927831
0.393574297,0.004016064,0.602409639,-13.37565623
0.389558233,0.004016064,0.606425703,-13.36953521
0.385542169,0.004016064,0.610441767,-13.36079147
0.381526104,0.004016064,0.614457831,-13.35172242
0.37751004,0.004016064,0.618473896,-13.34884598
0.373493976,0.004016064,0.62248996,-13.34234108
0.369477912,0.004016064,0.626506024,-13.34234108
0.365461847,0.004016064,0.630522088,-13.34234108
0.361445783,0.004016064,0.634538153,-13.34092696
0.357429719,0.004016064,0.638554217,-13.34092696
0.353413655,0.004016064,0.642570281,-13.34092696
