Mn,Fe,Co,Activation Energy - E_a (eV)
0.646586345,0.004016064,0.34939759,1.409934573
0.642570281,0.004016064,0.353413655,1.399889083
0.638554217,0.004016064,0.357429719,1.382983686
0.634538153,0.004016064,0.361445783,1.37774117
0.630522088,0.004016064,0.365461847,1.338067727
0.626506024,0.004016064,0.369477912,1.311139278
0.62248996,0.004016064,0.373493976,1.30387501
0.618473896,0.004016064,0.37751004,1.280056028
0.614457831,0.004016064,0.381526104,1.276647867
0.610441767,0.004016064,0.385542169,1.258447582
0.606425703,0.004016064,0.389558233,1.254423779
0.602409639,0.004016064,0.393574297,1.250802398
0.598393574,0.004016064,0.397590361,1.246103573
0.59437751,0.004016064,0.401606426,1.243582615
0.590361446,0.004016064,0.40562249,1.247476589
0.586345382,0.004016064,0.409638554,1.247511045
0.582329317,0.004016064,0.413654618,1.245816293
0.578313253,0.004016064,0.417670683,1.245105358
0.574297189,0.004016064,0.421686747,1.239707563
0.570281124,0.004016064,0.425702811,1.243728415
0.56626506,0.004016064,0.429718876,1.242515527
0.562248996,0.004016064,0.43373494,1.246431231
0.558232932,0.004016064,0.437751004,1.246539054
0.554216867,0.004016064,0.441767068,1.247781714
0.550200803,0.004016064,0.445783133,1.253905879
0.546184739,0.004016064,0.449799197,1.254274992
0.542168675,0.004016064,0.453815261,1.254274992
0.53815261,0.004016064,0.457831325,1.254274992
0.534136546,0.004016064,0.46184739,1.254573833
0.530120482,0.004016064,0.465863454,1.254938442
0.526104418,0.004016064,0.469879518,1.25597424
0.522088353,0.004016064,0.473895582,1.256326717
0.518072289,0.004016064,0.477911647,1.259688663
0.514056225,0.004016064,0.481927711,1.260374203
0.510040161,0.004016064,0.485943775,1.268374039
0.506024096,0.004016064,0.489959839,1.267260409
0.502008032,0.004016064,0.493975904,1.271532142
0.497991968,0.004016064,0.497991968,1.276924333
0.493975904,0.004016064,0.502008032,1.279324421
0.489959839,0.004016064,0.506024096,1.283311408
0.485943775,0.004016064,0.510040161,1.283299963
0.481927711,0.004016064,0.514056225,1.2936335
0.477911647,0.004016064,0.518072289,1.31962122
0.473895582,0.004016064,0.522088353,1.576877203
0.469879518,0.004016064,0.526104418,1.644135106
0.465863454,0.004016064,0.530120482,1.687787084
0.46184739,0.004016064,0.534136546,1.813905948
0.457831325,0.004016064,0.53815261,1.833746716
0.453815261,0.004016064,0.542168675,1.833746716
0.449799197,0.004016064,0.546184739,1.833746716
0.445783133,0.004016064,0.550200803,1.836111052
0.441767068,0.004016064,0.554216867,1.836111052
0.437751004,0.004016064,0.558232932,1.837053439
0.43373494,0.004016064,0.562248996,1.837053439
0.429718876,0.004016064,0.56626506,1.837053439
0.425702811,0.004016064,0.570281124,1.837053439
0.421686747,0.004016064,0.574297189,1.837034315
0.417670683,0.004016064,0.578313253,1.837034315
0.413654618,0.004016064,0.582329317,1.837034315
0.409638554,0.004016064,0.586345382,1.837015468
0.40562249,0.004016064,0.590361446,1.837001642
0.401606426,0.004016064,0.59437751,1.836988877
0.397590361,0.004016064,0.598393574,1.837339268
0.393574297,0.004016064,0.602409639,1.837673892
0.389558233,0.004016064,0.606425703,1.838122328
0.385542169,0.004016064,0.610441767,1.83806606
0.381526104,0.004016064,0.614457831,1.838024666
0.37751004,0.004016064,0.618473896,1.838008211
0.373493976,0.004016064,0.62248996,1.838458211
0.369477912,0.004016064,0.626506024,1.838458211
0.365461847,0.004016064,0.630522088,1.838458211
0.361445783,0.004016064,0.634538153,1.838452332
0.357429719,0.004016064,0.638554217,1.838452332
0.353413655,0.004016064,0.642570281,1.838452332
0.34939759,0.004016064,0.646586345,1.838408317
0.345381526,0.004016064,0.65060241,1.838387598
0.341365462,0.004016064,0.654618474,1.840409584
0.337349398,0.004016064,0.658634538,1.840409584
0.333333333,0.004016064,0.662650602,1.840393783
0.329317269,0.004016064,0.666666667,1.840393783
0.325301205,0.004016064,0.670682731,1.840393783
0.321285141,0.004016064,0.674698795,1.840393783
0.317269076,0.004016064,0.678714859,1.840393783
0.313253012,0.004016064,0.682730924,1.840387742
0.309236948,0.004016064,0.686746988,1.840387742
0.305220884,0.004016064,0.690763052,1.84193288
0.301204819,0.004016064,0.694779116,1.84193288
0.297188755,0.004016064,0.698795181,1.84193288
0.293172691,0.004016064,0.702811245,1.844804473
0.289156627,0.004016064,0.706827309,1.845760713
0.285140562,0.004016064,0.710843373,1.846228573
0.281124498,0.004016064,0.714859438,1.846228573
0.277108434,0.004016064,0.718875502,1.848124737
0.273092369,0.004016064,0.722891566,1.849062933
0.269076305,0.004016064,0.726907631,1.849006399
0.265060241,0.004016064,0.730923695,1.849006399
0.261044177,0.004016064,0.734939759,1.849007338
0.257028112,0.004016064,0.738955823,1.849007338
0.253012048,0.004016064,0.742971888,1.848130366
0.248995984,0.004016064,0.746987952,1.848069866
0.24497992,0.004016064,0.751004016,1.847203052
0.240963855,0.004016064,0.75502008,1.84546217
0.236947791,0.004016064,0.759036145,1.841149966
0.232931727,0.004016064,0.763052209,1.845384259
0.228915663,0.004016064,0.767068273,1.848822755
0.224899598,0.004016064,0.771084337,1.848775518
0.220883534,0.004016064,0.775100402,1.848775518
0.21686747,0.004016064,0.779116466,1.84873516
0.212851406,0.004016064,0.78313253,1.84872225
0.208835341,0.004016064,0.787148594,1.848703122
